Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month),Status
,,a,,,,,,37.88,20.94,4.35,4.60,21.06,19.75,7.40,22120000000.0,16.08,22120000000.0,20500000000.0,20.59,2.02,4.03,16.76,4.03,2690000000.0,22120000000.0,,3.34,19.10,5.90,1760000000.0,5.66,1800000000.0,2.13,15.22,1080000000.0,22120000000.0,0.36,88.24,,1.77,1.54,4130000.0,
,,aa,,,,,,28.87,11.56,0.26,0.64,4.76,12.45,5.94,3150000000.0,65.57,3150000000.0,6410000000.0,11.56,5.41,0.53,2.91,0.53,3320000000.0,3150000000.0,,3.12,4.49,24.30,4.49,4.49,1980000000.0,1.51,26.38,1070000000.0000001,3150000000.0,6.07,0.00,,2.09,5.18,5960000.0,
,,aapl,,,,,,112.40,17.17,3.53,9.50,21.50,24.87,11.99,913570000000.0,55.17,913570000000.0,958180000000.0,15.76,1.79,3.70,12.52,3.70,101840000000.0,913570000000.0,,11.78,12.80,1.00,94610000000.0,20.94,108420000000.0,1.50,21.29,44850000000.0,913570000000.0,0.07,60.95,,0.91,0.91,43450000.0,
,,abbv,,,,,,0.89,23.19,2.88,3.87,12.62,39.97,13.72,93920000000.0,21.87,93920000000.0,126250000000.0,6.86,1.74,3.87,8.46,3.87,25040000000.0,93920000000.0,,2.74,62.60,0.30,5420000000.0,3.66,37790000000.0,0.89,5.79,13410000000.0,93920000000.0,0.09,71.89,,4.12,3.52,28210000.0,
,,abc,,,,,,145.02,19.19,0.10,6.01,0.54,1.00,2.88,17970000000.0,840.19,17970000000.0,19610000000.0,11.37,1.52,0.11,8.59,0.11,4580000000.0,17970000000.0,,4.49,9.50,4.90,14.4,14.4,4510000000.0,0.95,14.35,2340000000.0,17970000000.0,27.13,67.99,,7.2,5.25,8390000.0,
,,abt,,,,,,62.92,51.73,4.81,4.69,9.36,14.37,4.06,148660000000.0,17.54,148660000000.0,170470000000.0,23.24,2.24,5.51,22.65,5.51,17920000000.0,148660000000.0,,1.63,37.20,2.70,3380000000.0,1.91,20070000000.0,1.68,17.93,5720000000.0,148660000000.0,0.72,76.49,,3.6,0.99,14150000.0,
,,ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
,,aci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
,,acn,,,,,,0.17,26.31,2.93,8.78,11.34,15.00,15.04,120760000000.0,64.54,120760000000.0,118550000000.0,23.66,2.80,2.87,17.47,2.87,12440000000.0,120760000000.0,,7.20,19.80,3.80,4770000000.0,7.49,23990000.0,1.34,21.56,6620000000.0,120760000000.0,0.23,72.46,,4.12,1.02,6240000.0,
,,act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
